order_item_id,order_id,product_id,quantity,discount_pct,line_total
1,1,1,11,5,6773.17
2,2,7,12,0,7026.6
3,2,15,2,0,1188.44
4,2,14,9,0,6108.03
5,3,21,3,0,2426.91
6,3,12,12,0,4702.92
7,3,27,12,0,4163.88
8,4,24,6,0,4817.52
9,4,17,9,0,754.11
10,5,26,3,0,1644.51
11,5,13,4,0,606.52
12,6,18,6,0,3499.32
13,7,26,8,0,4385.36
14,7,10,9,0,7628.4
15,7,27,3,0,1040.97
16,8,8,7,0,2711.31
17,8,3,12,0,401.64
18,8,16,12,0,2392.08
19,9,29,7,0,5856.34
20,9,3,10,0,334.7
21,9,13,2,0,303.26
22,9,9,3,0,730.44
23,10,16,8,0,1594.72
24,11,8,6,0,2323.98
25,11,15,3,0,1782.66
26,11,7,9,0,5269.95
27,11,10,11,0,9323.6
28,11,29,10,0,8366.2
29,12,13,9,0,1364.67
30,12,7,1,0,585.55
31,12,28,2,0,487.94
32,12,15,9,0,5347.98
33,13,19,3,0,1684.56
34,13,8,6,10,2091.58
35,14,3,9,0,301.23
36,14,28,5,0,1219.85
37,14,15,2,0,1188.44
38,15,6,5,0,3291.45
39,15,18,3,0,1749.66
40,15,11,11,10,3671.51
41,15,1,5,0,3240.75
42,15,24,10,0,8029.2
43,16,26,11,10,5426.88
44,16,16,3,5,568.12
45,16,5,10,0,4230.2
46,16,21,10,0,8089.7
47,16,12,3,0,1175.73
48,17,18,12,0,6998.64
49,17,22,10,0,1411.3
50,17,14,6,0,4072.02
51,17,15,10,15,5050.87
52,17,1,1,0,648.15
53,18,14,1,0,678.67
54,19,24,11,15,7507.3
55,19,26,4,10,1973.41
56,19,5,10,0,4230.2
57,20,28,8,0,1951.76
58,21,7,11,0,6441.05
59,21,1,5,0,3240.75
60,21,29,8,0,6692.96
61,22,22,5,0,705.65
62,22,10,8,5,6441.76
63,22,2,2,0,71.06
64,22,20,12,0,2918.04
65,23,25,7,0,2558.29
66,23,9,8,0,1947.84
67,23,18,8,0,4665.76
68,23,3,4,0,133.88
69,24,21,6,10,4368.44
70,24,23,12,0,4512.0
71,25,6,7,0,4608.03
72,25,10,3,0,2542.8
73,25,7,6,0,3513.3
74,26,14,6,0,4072.02
75,27,1,5,0,3240.75
76,28,16,2,0,398.68
77,28,2,1,0,35.53
78,29,20,7,0,1702.19
79,29,21,4,0,3235.88
80,29,6,3,0,1974.87
81,29,28,6,0,1463.82
82,29,2,10,0,355.3
83,30,21,3,0,2426.91
84,30,1,8,0,5185.2
85,31,9,5,0,1217.4
86,31,18,8,0,4665.76
87,31,1,1,0,648.15
88,31,11,2,5,704.63
89,32,10,4,0,3390.4
90,32,3,4,0,133.88
91,32,8,10,0,3873.3
92,32,12,6,0,2351.46
93,33,12,8,5,2978.52
94,33,8,10,0,3873.3
95,33,9,11,0,2678.28
96,34,5,9,0,3807.18
97,34,27,1,0,346.99
98,34,1,2,0,1296.3
99,35,2,12,0,426.36
100,35,9,6,0,1460.88
101,35,6,7,0,4608.03
102,36,4,1,0,285.21
103,36,18,10,5,5540.59
104,36,12,9,0,3527.19
105,36,15,4,0,2376.88
106,37,5,2,5,803.74
107,37,26,7,0,3837.19
108,37,27,9,0,3122.91
109,38,22,10,0,1411.3
110,38,14,11,15,6345.56
111,38,16,10,0,1993.4
112,39,17,7,0,586.53
113,40,13,6,10,818.8
114,40,7,3,0,1756.65
115,40,10,4,0,3390.4
116,40,24,10,0,8029.2
117,40,1,9,0,5833.35
118,41,27,1,0,346.99
119,42,19,8,0,4492.16
120,42,5,9,5,3616.82
121,42,10,8,0,6780.8
122,43,20,3,0,729.51
123,43,2,6,0,213.18
124,43,8,10,0,3873.3
125,43,1,6,5,3694.45
126,43,5,3,0,1269.06
127,44,13,10,10,1364.67
128,44,7,6,0,3513.3
129,44,6,9,5,5628.38
130,45,23,5,0,1880.0
131,45,21,8,0,6471.76
132,45,1,1,10,583.34
133,45,5,6,0,2538.12
134,45,10,6,0,5085.6
135,46,7,10,5,5562.72
136,46,5,5,0,2115.1
137,46,2,12,0,426.36
138,46,9,12,0,2921.76
139,47,10,8,0,6780.8
140,47,2,5,0,177.65
141,47,12,11,15,3664.36
142,47,4,10,0,2852.1
143,47,6,10,10,5924.61
144,48,6,10,0,6582.9
145,49,11,11,0,4079.46
146,49,4,12,0,3422.52
147,49,29,10,5,7947.89
148,49,10,7,0,5933.2
149,49,15,3,0,1782.66
150,50,5,1,0,423.02
151,50,19,10,0,5615.2
152,51,9,1,0,243.48
153,51,22,8,0,1129.04
154,52,9,7,0,1704.36
155,52,8,12,0,4647.96
156,53,6,10,15,5595.46
157,53,26,8,10,3946.82
158,53,15,12,0,7130.64
159,53,27,12,0,4163.88
160,53,28,1,0,243.97
161,54,3,4,10,120.49
162,54,18,9,0,5248.98
163,54,10,6,0,5085.6
164,54,16,11,5,2083.1
165,54,20,8,0,1945.36
166,55,22,3,10,381.05
167,55,10,8,0,6780.8
168,55,16,9,10,1614.65
169,56,28,11,0,2683.67
170,56,6,12,0,7899.48
171,56,21,11,5,8453.74
172,57,20,10,15,2066.94
173,57,25,8,0,2923.76
174,57,19,4,0,2246.08
175,58,4,5,0,1426.05
176,58,19,4,10,2021.47
177,58,23,5,0,1880.0
178,58,22,5,5,670.37
179,58,28,12,0,2927.64
180,59,3,6,0,200.82
181,59,11,8,0,2966.88
182,59,5,6,10,2284.31
183,59,10,9,0,7628.4
184,60,21,5,0,4044.85
185,60,24,2,0,1605.84
186,60,10,10,0,8476.0
187,61,1,6,0,3888.9
188,61,25,3,0,1096.41
189,61,13,5,0,758.15
190,61,4,1,10,256.69
191,62,26,6,0,3289.02
192,63,17,12,10,904.93
193,63,20,8,0,1945.36
194,63,8,4,0,1549.32
195,64,24,9,0,7226.28
196,64,22,12,15,1439.53
197,64,3,5,5,158.98
198,65,6,12,0,7899.48
199,65,18,10,5,5540.59
200,65,19,4,0,2246.08
201,65,16,4,0,797.36
202,65,28,1,0,243.97
203,66,16,11,15,1863.83
204,66,18,4,0,2332.88
205,67,9,6,0,1460.88
206,67,17,12,0,1005.48
207,67,4,8,0,2281.68
208,67,7,2,0,1171.1
209,68,14,9,0,6108.03
210,69,21,8,0,6471.76
211,69,25,11,0,4020.17
212,69,1,4,0,2592.6
213,69,6,5,0,3291.45
214,70,23,2,0,752.0
215,71,7,9,5,5006.45
216,71,14,12,5,7736.84
217,72,24,7,0,5620.44
218,72,6,3,5,1876.13
219,73,2,3,5,101.26
220,73,1,12,0,7777.8
221,73,17,5,0,418.95
222,73,15,1,0,594.22
223,74,6,10,0,6582.9
224,74,21,2,0,1617.94
225,74,29,6,5,4768.73
226,74,5,5,0,2115.1
227,74,18,8,0,4665.76
228,75,8,8,0,3098.64
229,75,20,3,5,693.03
230,75,11,9,0,3337.74
231,75,24,8,0,6423.36
232,75,18,5,0,2916.1
233,76,13,3,0,454.89
234,76,7,12,0,7026.6
235,76,24,8,0,6423.36
236,77,26,1,0,548.17
237,77,7,12,0,7026.6
